# q (1/Angstrom), Intensity (counts)
1.270000151321066528e-01,1.103646470606813352e+02
1.280000152512561218e-01,1.032503052425962409e+02
1.290000153704056463e-01,9.683143617026566119e+01
1.300000154895551707e-01,9.062379311151117633e+01
1.310000156087046397e-01,8.405388770336696780e+01
1.320000157278541641e-01,7.862889060199934477e+01
1.330000158470036886e-01,7.318612408202956487e+01
1.340000159661531576e-01,6.704685559180481391e+01
1.350000160853026820e-01,6.171639521482599378e+01
1.360000162044522065e-01,5.743512654414892893e+01
1.370000163236016755e-01,5.307879339384905393e+01
1.380000164427511999e-01,4.909750474992627289e+01
1.390000165619007244e-01,4.528059419956377951e+01
1.400000166810501934e-01,4.138563001624191884e+01
1.410000168001997178e-01,3.781321533482595498e+01
1.420000169193492423e-01,3.504068901933477775e+01
1.430000170384987113e-01,3.214455505183101991e+01
1.440000171576482357e-01,2.958361161946602635e+01
1.450000172767977324e-01,2.721699402927053768e+01
1.460000173959472292e-01,2.474475596698356128e+01
1.470000175150967536e-01,2.267567301659518364e+01
1.480000176342462503e-01,2.061876456839603122e+01
1.490000177533957471e-01,1.919376867488142580e+01
1.500000178725452715e-01,1.681702668741941409e+01
1.510000179916947682e-01,1.481315319286848364e+01
1.520000181108442927e-01,1.346594959608319186e+01
1.530000182299937894e-01,1.245535392138577890e+01
1.540000183491432861e-01,1.167546605727392262e+01
1.550000184682928106e-01,1.136429181759649509e+01
1.560000185874423073e-01,1.087527060678942803e+01
1.570000187065918040e-01,9.975235280039015606e+00
1.580000188257413285e-01,9.354196139461009807e+00
1.590000189448908252e-01,9.283138217806026660e+00
1.600000190640403219e-01,8.981763296831516641e+00
1.610000191831898464e-01,8.835598896742041575e+00
1.620000193023393431e-01,8.675409193122803231e+00
1.630000194214888398e-01,9.219499255754570299e+00
1.640000195406383643e-01,9.234386146923114325e+00
1.650000196597878610e-01,8.470886144076047231e+00
1.660000197789373577e-01,8.905982663505383812e+00
1.670000198980868822e-01,9.476383185020551991e+00
1.680000200172363789e-01,9.213785820579559527e+00
1.690000201363858756e-01,9.479489378764739627e+00
1.700000202555354001e-01,9.788859935354054187e+00
1.710000203746848968e-01,9.752537999874604679e+00
1.720000204938343935e-01,1.036831535731069209e+01
1.730000206129839180e-01,1.066544303072625155e+01
1.740000207321334147e-01,1.171981647880703292e+01
1.750000208512829114e-01,1.221023322088927898e+01
1.760000209704324359e-01,1.255844517203894384e+01
1.770000210895819326e-01,1.311336385387478742e+01
1.780000212087314293e-01,1.384937589613923592e+01
1.790000213278809538e-01,1.362300308935721205e+01
1.800000214470304227e-01,1.364923589371501578e+01
1.810000215661799472e-01,1.350321394219220394e+01
1.820000216853294717e-01,1.372611566937635530e+01
1.830000218044789406e-01,1.469361829371624140e+01
1.840000219236284651e-01,1.509529430060800337e+01
1.850000220427779896e-01,1.526476099262735886e+01
1.860000221619274585e-01,1.598303688608471873e+01
1.870000222810769830e-01,1.591564852943729136e+01
1.880000224002265075e-01,1.567447307989453975e+01
1.890000225193759764e-01,1.575630552138146356e+01
1.900000226385255009e-01,1.628706927695309048e+01
1.910000227576750254e-01,1.616900329697614325e+01
1.920000228768244943e-01,1.618604913355410702e+01
1.930000229959740188e-01,1.720075314064256133e+01
1.940000231151235432e-01,1.744844348606216045e+01
1.950000232342730122e-01,1.721984535966518592e+01
1.960000233534225367e-01,1.749037017952218775e+01
1.970000234725720611e-01,1.740475339620506645e+01
1.980000235917215301e-01,1.783482309477497552e+01
1.990000237108710546e-01,1.835969538987002636e+01
2.000000238300205513e-01,1.815936294435054776e+01
2.010000239491700480e-01,1.758159764652596380e+01
2.020000240683195170e-01,1.788319973196068702e+01
2.030000241874690414e-01,1.786596201430067765e+01
2.040000243066185659e-01,1.731288621041545639e+01
2.050000244257680626e-01,1.713183690141595150e+01
2.060000245449175871e-01,1.683999719958899277e+01
2.070000246640670838e-01,1.690885253222154461e+01
2.080000247832165527e-01,1.684768780237550345e+01
2.090000249023660772e-01,1.689695569465517622e+01
2.100000250215156017e-01,1.656726596355466086e+01
2.110000251406650984e-01,1.680103304815715148e+01
2.120000252598146229e-01,1.660317378913278219e+01
2.130000253789641196e-01,1.662683818166223659e+01
2.140000254981135885e-01,1.579622189851384917e+01
2.150000256172631130e-01,1.530543482811283695e+01
2.160000257364126375e-01,1.497333281002742922e+01
2.170000258555621342e-01,1.506919498898828635e+01
2.180000259747116587e-01,1.510020314614314429e+01
2.190000260938611554e-01,1.426340918006988545e+01
2.200000262130106243e-01,1.389026517125414273e+01
2.210000263321601488e-01,1.338485010479863035e+01
2.220000264513096733e-01,1.342633624741698384e+01
2.230000265704591700e-01,1.314750885517791801e+01
2.240000266896086945e-01,1.246628056134905194e+01
2.250000268087581912e-01,1.207540635255934092e+01
2.260000269279076601e-01,1.157713749495675870e+01
2.270000270470571846e-01,1.137611725941171414e+01
2.280000271662067091e-01,1.126815783369934820e+01
2.290000272853562058e-01,1.122158834603203559e+01
2.300000274045057302e-01,1.042446145473290642e+01
2.310000275236551992e-01,9.698223389581428933e+00
2.320000276428046959e-01,9.787858700093210018e+00
2.330000277619542204e-01,9.494153524027026947e+00
2.340000278811037449e-01,8.997176805914421038e+00
2.350000280002532416e-01,8.857444468305033070e+00
2.360000281194027660e-01,8.939146240231366392e+00
2.370000282385522350e-01,8.320037290128496466e+00
2.380000283577017317e-01,7.820876699373130236e+00
2.390000284768512562e-01,7.488157011040328825e+00
2.400000285960007806e-01,7.621153709199319337e+00
2.410000287151502774e-01,7.010738764930223965e+00
2.420000288342998018e-01,6.195435298144957414e+00
2.430000289534492708e-01,6.339451455846997874e+00
2.440000290725987675e-01,6.450047975291383295e+00
2.450000291917482920e-01,6.272242766411409320e+00
2.460000293108978164e-01,5.992533428124005468e+00
2.470000294300473132e-01,6.380204527756006883e+00
2.480000295491968376e-01,5.498466512856410304e+00
2.490000296683463066e-01,4.838079100210308070e+00
2.500000297874958033e-01,4.706111489237144951e+00
2.510000299066453278e-01,4.321174908017937355e+00
2.520000300257948522e-01,4.396226284605134538e+00
2.530000301449443767e-01,4.327695569175403989e+00
2.540000302640938457e-01,3.611155267344500430e+00
2.550000303832433146e-01,3.328380118990722281e+00
2.560000305023928391e-01,3.593605106127455429e+00
2.570000306215423636e-01,3.446629915926877175e+00
2.580000307406918880e-01,3.225863566341359956e+00
2.590000308598414125e-01,3.055544478489949256e+00
2.600000309789908814e-01,2.919540153573350949e+00
2.610000310981403504e-01,2.863730361425240289e+00
2.620000312172898749e-01,2.263680341735280876e+00
2.630000313364393993e-01,2.021770355690762244e+00
2.640000314555889238e-01,2.344423736328991481e+00
2.650000315747384483e-01,2.780535233384597404e+00
2.660000316938879172e-01,2.573318101278346148e+00
2.670000318130373862e-01,2.265228771738449609e+00
2.680000319321869107e-01,2.518099350716383356e+00
2.690000320513364351e-01,2.869525859475587026e+00
2.700000321704859596e-01,2.589857050805392191e+00
2.710000322896354841e-01,2.267958871603482862e+00
